File	Left Context	Hit	Right Context
Full_Record_2025-04-03.txt	to teach or advance concepts related to 	gender ideology, 	and for other purposes; to 
Full_Record_2025-07-10.txt	to teach or advance concepts related to 	gender ideology, 	and for other purposes; to 
Full_Record_2023-03-23.txt	Rights Act to protect children from radical 	gender ideology 	and to ensure parents are 
Full_Record_2025-09-10.txt	from readiness and lethality to promote extreme 	gender ideology 	and to fund sex changes 
Full_Record_2025-10-08.txt	books related to diversity, equity, and inclusion, ‘‘	gender ideology’’, 	and anything that would suggest ‘‘
Full_Record_2022-05-17.txt	industry needs. H.R. 7309 also promotes progressive 	gender ideology 	and critical race theory by 
Full_Record_2025-03-05.txt	his commitment to protecting children from radical 	gender ideology 	and ensuring that women and 
Full_Record_2025-06-12.txt	U.S. Institute of Peace for woke 	gender ideology 	and equity nonsense that mocks 
Full_Record_2023-03-23.txt	of the color of their skin; radical 	gender ideology; 	and even drag shows to 
Full_Record_2025-10-08.txt	libraries that include themes related to race, ‘‘	gender ideology’’, 	and other ‘‘divisive concepts’’ that 
Full_Record_2024-06-13.txt	of my amendment that would restrict radical 	gender ideology 	and pornographic content from entering 
Full_Record_2024-06-13.txt	mathematics and arithmetic and writing, not in 	gender ideology 	and pornography. What is unwelcome 
Full_Record_2025-06-12.txt	of globalist NGOs, projects that fund radical 	gender ideology, 	and the green new scam. 
Full_Record_2023-07-13.txt	that contains pornographic material or espouses radical 	gender ideology.  	The Acting CHAIR. Pursuant to 
Full_Record_2025-01-14.txt	hormones or by clothes or by radical 	gender ideology. 	The future of our young 
Full_Record_2023-12-06.txt	that contains pornographic material or espouses radical 	gender ideology. 	The Senate amendment contained no 
Full_Record_2023-03-22.txt	pass it without delay.  PUBLIC SCHOOL RADICAL 	GENDER IDEOLOGY 	The SPEAKER pro tempore. The 
Full_Record_2025-03-31.txt	Fed. Reg. 8615; relating to defending women from 	gender ideology 	extremism and restoring biological truth 
Full_Record_2025-04-03.txt	Fed Reg. 8615; relating to defending women from 	gender ideology 	extremism and restoring biological truth 
